Movie Title,Storyline
Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe."
Kangaroo Island,"A struggling Hollywood actress returns home to Kangaroo Island, confronting the love triangle that tore her family apart."
Abigail,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
Friendship,A suburban dad falls hard for his charismatic new neighbor.
The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose."
Conclave,"When Cardinal Lawrence is tasked with leading the selection of a new Pope, he finds himself in a web of conspiracy and intrigue that could shake the very foundations of the Catholic Church."
Ghostbusters: Frozen Empire,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age."
Secret Mall Apartment,"In 2003, eight Rhode Islanders created a secret apartment inside a busy mall and lived there for four years, filming everything along the way. Far more than a prank, the secret apartment became a deeply meaningful place for all involved."
The Ministry of Ungentlemanly Warfare,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
The Fall Guy,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job."
I'm Still Here,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.
Kinds of Kindness,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide."
Babygirl,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.
Shell,"Desperate to reclaim her career, once-beloved actress Samantha Lake is drawn into the glamorous world of wellness mogul Zoe Shannon -only to uncover a monstrous truth beneath its flawless surface."
Challengers,"Tashi, a former tennis prodigy turned coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend and Tashi's ex-boyfriend."
The Instigators,Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.
Longlegs,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree."
We Live in Time,"After an unusual encounter, a talented chef and a recently divorcée fall in love and build the home and family they've always dreamed of, until a painful truth puts their love story to the test."
The Apprentice,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events."
The Idea of You,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet."
The Beekeeper,A former operative of a powerful organization embarks on a brutal campaign for vengeance.
Wolfs,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job."
Small Things Like These,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.
We Bury the Dead,"After a catastrophic military disaster, the dead don't just rise - they hunt. Ava searches for her missing husband, but what she finds is far more terrifying."
Speak No Evil,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them."
MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past."
Borderlands,"An infamous bounty hunter returns to her childhood home, the chaotic planet Pandora, and forms an unlikely alliance with a team of misfits to find the missing daughter of the most powerful man in the universe."
Flow,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences."
Road House,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems."
Furiosa: A Mad Max Saga,"After being snatched from the Green Place of Many Mothers, while the tyrants Dementus and Immortan Joe fight for power and control, the young Furiosa must survive many trials as she puts together the means to find her way home."
Immaculate,"Cecilia, a woman of devout faith, is warmly welcomed to the picture-perfect Italian countryside where she is offered a new role at an illustrious convent. But it becomes clear to Cecilia that her new home harbors dark and horrifying secrets."
Trap,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.
Juror #2,"While serving as a juror in a high-profile murder trial, a family man finds himself struggling with a serious moral dilemma, one he could use to sway the jury verdict and potentially convict or free the wrong killer."
Twisters,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies."
The Count of Monte-Cristo,"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the count of Monte Cristo to exact revenge on the men who betrayed him."
The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night."
Venom: The Last Dance,Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.
Joker: Folie à Deux,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital."
Tell Me What You Want,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. Eric fears his secret may end their affair."
Subservience,"A struggling father purchases a domestic SIM to help care for his family, unaware she will gain self-awareness."
Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance."
The Order,A series of bank robberies and car heists frightens communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals but rather a group of dangerous domestic terrorists.
Kraven the Hunter,"Kraven's complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared."
Inside Out 2,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced."
Carry-On,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.
A Quiet Place: Day One,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.
Damsel,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt."
Rebel Ridge,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.
Smile 2,"About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past."
A Real Pain,"Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history."
Fly Me to the Moon,"Marketing maven Kelly Jones wreaks havoc on NASA launch director Cole Davis's already difficult task. When the White House deems the mission too important to fail, the countdown truly begins."
I Was a Stranger,"Five strangers are pulled together, colliding on a single night where survival is uncertain."
The Luckiest Man in America,May 1984. An unemployed ice cream truck driver steps onto the game show Press Your Luck harboring a secret: the key to endless money. But his winning streak is threatened when the bewildered executives uncover his real motivations.
Dooba Dooba,In-home security cameras watch as an awkward sixteen year old girl terrorizes her well meaning babysitter.
Caddo Lake,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history."
Presence,A family becomes convinced they are not alone after moving into their new home in the suburbs.
Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced."
IF,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.
Madame Web,"Forced to confront her past, Cassandra Webb, a Manhattan paramedic that may have clairvoyant abilities, forms a relationship with three young women destined for powerful futures, if they can survive their threatening present."
Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.
From the Ashes,"A seemingly normal school day ends in unthinkable disaster when a mysterious fire breaks out in the school basement. Chaos, panic and confusion prevail among students and teachers."
Kingdom of the Planet of the Apes,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike."
Love Lies Bleeding,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou's criminal family."
The Last Showgirl,A seasoned showgirl must plan for her future when her show abruptly closes after a 30-year run.
Kung Fu Panda 4,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm."
Freaky Tales,"Four interconnected stories set in 1987 Oakland, CA. will tell about the love of music, movies, people, places and memories beyond our knowable universe."
Horizon: An American Saga - Chapter 1,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west."
The Fable,"After discovering burned trees in his orchards, a wealthy landowner grows suspicious of his workers and nomads passing through his vast estate."
Megalopolis,"The city of New Rome faces the duel between Cesar Catilina, a brilliant artist in favor of a Utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, with her loyalty divided between her father and her beloved."
Fight or Flight,A mercenary takes on the job of tracking down a target on a plane but must protect that target when they're surrounded by people trying to kill both of them.
Sleeping Dogs,"An ex-homicide detective with memory loss is forced to solve a brutal murder, only to uncover chilling secrets from his forgotten past."
The Return,"After 20 years Odysseus finally returns to Ithaca, where he finds his wife held prisoner by suitors vying to be king and his son facing death at their hands. To win back his family and all he has lost, Odysseus must rediscover his strength."
Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny."
Argylle,A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes that the plot of the new book she's writing starts to mirror real-world events in real time.
Shelby Oaks,A woman's obsessive search for her missing sister leads her into a terrifying mystery at the hands of an unknown evil.
Strange Harvest,"Detectives are thrust into a chilling hunt for ""Mr. Shiny""-a sadistic serial killer from the past whose return marks the beginning of a new wave of grotesque, otherworldly crimes tied to a dark cosmic force."
Emilia Pérez,"It follows three remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists unappreciated lawyer Rita to help fake her death so that she can finally live authentically as her true self."
Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever."
On Swift Horses,"Muriel and her husband Lee are about to begin a bright new life, which is upended by the arrival of Lee's brother. Muriel embarks on a secret life, gambling on racehorses and discovering a love she never thought possible."
Bad Boys: Ride or Die,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name."
Queer,"In 1950s Mexico City, an American immigrant in his late forties leads a solitary life amidst a small American community. However, the arrival of a young student stirs the man into finally establishing a meaningful connection with someone."
It's What's Inside,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges."
The Lord of the Rings: The War of the Rohirrim,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg."
Here,"A generational story about families and the special place they inhabit, sharing in love, loss, laughter, and life."
Lola,"Lola James works to save enough money to get her little brother, Arlo, out of their toxic home. Arlo keeps her hopeful, until one tragic night, when her whole world gets uprooted. From that moment on, nothing will ever be the same."
Red One,"After Santa Claus is kidnapped, the North Pole's Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas."
The Strangers: Chapter 1,"After their car breaks down in an eerie small town, a young couple is forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motive."
Saturday Night,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1975)."
The Unholy Trinity,Buried secrets of an 1870s Montana town spark violence when a young man returns to reclaim his legacy and is caught between a sheriff determined to maintain order and a mysterious stranger hell-bent on destroying it.
I Saw the TV Glow,A teenager just trying to make it through life in the suburbs is introduced by a classmate to a mysterious late-night TV show.
Parthenope,"A woman born in the sea of Naples in 1950 searches for happiness over the long summers of her youth, falling in love with her home city and its many memorable characters."
Godzilla x Kong: The New Empire,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries."
Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife."
Back to Black,"The life and music of Amy Winehouse, through the journey of adolescence to adulthood and the creation of one of the best-selling albums of our time."
Despicable Me 4,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run."
The Assessment,"In the near future where parenthood is strictly controlled, a couple's seven-day assessment for the right to have a child unravels into a psychological nightmare."
Young Hearts,Elias develops feelings for his new neighbor Alexander. He soon realizes he's falling in love for the first time.
Maharaja,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds."
Better Man,"A singular profile of pop superstar Robbie Williams, chronicling his meteoric rise, dramatic fall, and remarkable resurgence."
Drive-Away Dolls,"Jamie regrets her breakup with her girlfriend, while Marian needs to relax. In search of a fresh start, they embark on an unexpected road trip to Tallahassee. Things quickly go awry when they cross paths with a group of inept criminals."
Horizon: An American Saga - Chapter 2,The continuation of one story of the settlement of the American west. It follows the further adventures of characters first featured in Horizon: An American Saga.
The Penguin Lessons,A disillusioned Englishman who goes to work in a school in a divided Argentina in 1976 finds his life transformed when he rescues an orphaned penguin from the beach.
The Six Triple Eight,"During World War II, 855 women joined the fight to fix the three-year backlog of undelivered mail. Faced with discrimination and a country devastated by war, they managed to sort more than 17 million pieces of mail ahead of time."
Year 10,"Following a catastrophic event that has destroyed civilization, a young man must confront a group of cannibals who have murdered his father and stolen the medicine keeping his girlfriend alive."
Strangers,"A frustrated woman encounters a mysterious hitman. Their romance leads to vigilante killings of criminals. As she delves deeper, she questions her partner's true nature and their hidden motives."
A Different Man,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance, but his new dream face quickly turns into a nightmare."
September 5,"During the 1972 Summer Olympics in Munich, Germany, an American sports broadcasting team must adapt to live coverage of the Israeli athletes being held hostage by a terrorist group."
All of You,A stirring near-futuristic romance of two best friends who harbor an unspoken love for one another even after a test matches one of them up with their supposed soulmate.
The Beldham,"A struggling new mother fights a generations-old presence lurking within her family home, threatening her safety, her sanity, and the life of her infant child."
The Containment,A dark and sinister being enters the body of an innocent child.
Land of Bad,A Delta Force team fights for survival as an Air Force drone pilot becomes its eyes in the sky.
Barron's Cove,"After his son is killed, a father abducts the child responsible, hellbent on revenge."
The Salt Path,A couple lose their home and later discover the husband has been diagnosed with a terminal illness as they embark on a year long coastal trek.
Oddity,A psychic medium attempts to uncover the truth behind her sister's murder at the site of the crime.
Nickel Boys,A powerful friendship develops between two young Black men as they navigate the harrowing trials of reform school together.
Homestead,"Amid chaos, ex-Green Beret joins prepper compound; love grows, truths arise, and a community unites."
Don't Move,"A seasoned killer injects a grieving woman with a paralytic agent. She must run, fight and hide before her body shuts down."
Viva Verdi!,"At Milan's Casa Verdi retirement home, elderly opera stars and musicians mentor young students while sharing their remarkable lives. Built by Verdi in 1896, this unique residence unites generations through music and passion."
Salem's Lot,"An author returns to his hometown of Jerusalem's Lot in search of inspiration for his next book, only to discover that the townspeople are being attacked by a bloodthirsty vampire."
Spaceman,"Half a year into his solo mission on the edge of the solar system, an astronaut concerned with the state of his life back on Earth is helped by an ancient creature he discovers in the bowels of his ship."
Monkey Man,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systematically victimize the poor and powerless.
Diane Warren: Relentless,"The untold story of a legendary songwriter. Featuring Cher, Common, Jennifer Hudson, Gloria Estefan, Kesha, LeAnn Rimes, and more."
1978,"During the World Cup final between Argentina and Holland, in times of military dictatorship, a group of torturers kidnap a group of young people. What begins as an inhumane interrogation turns into hell: the wrong group has been kidnapped."
Mean Girls,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
My Old Ass,"A mushroom trip brings free-spirited Elliott face-to-face with her 39-year-old self. But when Elliott's ""old ass"" delivers warnings to her younger self, Elliott realizes she has to rethink everything about her family, life and love."
Lift,A female master thief and her ex-boyfriend who works for the FBI team up to steal $100M worth of gold bullion being transported on a 777 passenger flight from London to Zurich.
Snack Shack,"Nebraska City, 1991, two best friends get the chance to run the swimming pool snack shack, that later comes to be the perfect scenario for transgression, fun, personal discovery and romance."
The Killer,"After being betrayed by her master, a disillusioned assassin takes one final shot with the intention of using the money to help a musician she accidentally blinded regain vision."
The Shrouds,"Karsh, an innovative businessman and grieving widower, builds a device to connect with the dead inside a burial shroud."
The Union,"Construction worker Mike is thrust into the world of espionage when his high school sweetheart, Roxanne, recruits him for a high-stakes intelligence mission."
The Deliverance,"An Indiana family discovers strange, demonic occurrences that convince them and their community that the house is a portal to hell."
The Ruse,An in-home caregiver fears for her life after being assigned to a mysterious elderly patient in a remote seaside home.
Ordinary Angels,Inspired by the incredible true story of a hairdresser who single-handedly rallies an entire community to help a widowed father save the life of his critically ill young daughter.
Kneecap,"When fate brings Belfast teacher JJ into the orbit of self-confessed ""low life scum"" Naoise and Liam Óg, the needle drops on a hip hop act like no other. Rapping in their native Irish, they lead a movement to save their mother tongue."
The Girl with the Needle,"Copenhagen 1919: A young worker finds herself unemployed and pregnant. She meets Dagmar, who runs an underground adoption agency. A strong connection grows but her world shatters when she stumbles on the shocking truth behind her work."
Sketch,"When a young girl's sketchbook falls into a strange pond, her drawings come to life-chaotic, real and on the loose. As the town descends into chaos, her family must reunite and stop the monsters they never meant to unleash."
Terrifier 3,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.
Ricky Stanicky,"When three childhood best friends pull a prank that goes wrong, they invent the imaginary Ricky Stanicky to get them out of trouble. Twenty years later, they still use the nonexistent Ricky as a handy alibi for their immature behavior."
Nr. 24,"Young apprentice Gunnar Sønsteby from Rjukan decides to resist Nazi-Germany on the day of the invasion to later become the leader of the ""Oslo-gang"" carrying out countless daring acts of sabotage making him Norway's greatest war hero."
King Ivory,"Based upon extensive research with law enforcement, gangs, inmates, migrants, and addicts, an exposé on fentanyl trafficking, and its effect on all walks of life."
No Other Land,This film made by a Palestinian-Israeli collective shows the destruction of the occupied West Bank's Masafer Yatta by Israeli soldiers and the alliance which develops between the Palestinian activist Basel and Israeli journalist Yuval.
Emmanuelle,"In search of a lost pleasure, Emmanuelle travels alone to Hong Kong on a business mission. In the vibrant and sensual global city, she indulges in intense encounters and new experiences."
Maria,"Maria Callas, the world's greatest opera singer, lives the last days of her life in 1970s Paris, as she confronts her identity."
Look Back,"The overly confident Fujino and the shut-in Kyomoto couldn't be more different, but a love of drawing manga brings these two small-town girls together."
The Outrun,"After living life on the edge in London, Rona attempts to come to terms with her troubled past. Hoping to heal, she returns to the wild beauty of Scotland's Orkney Islands where she grew up."
Nightbitch,"A woman pauses her career to be a stay-at-home mom, but soon her domesticity takes a surreal turn."
Memoir of a Snail,"A bittersweet memoir of a melancholic woman called Grace Pudel - a hoarder of snails, romance novels, and guinea pigs."
Rust,An orphaned boy of 13 left to fend for himself and his younger brother in 1880s Wyoming is sentenced to hang for the accidental killing of a local rancher. His estranged grandfather breaks him out of jail and they go on the run to Mexico.
The Crow,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge."
Thelma,"When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her."
Watchmen: Chapter I,"In 1985, the murder of a government sponsored superhero draws his outlawed colleagues out of retirement and into a mystery that threatens to upend their personal lives and the world itself."
Exhuma,The process of excavating an ominous grave unleashes dreadful consequences buried underneath.
Paddington in Peru,"Paddington returns to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey."
The Friend,"When a solitary writer adopts and bonds with a Great Dane that belonged to a late friend, she begins to come to terms with her past and her own creative inner life."
A Nice Indian Boy,"When Naveen brings his fiancé Jay home to meet his traditional Indian family, they must contend with accepting his white-orphan-artist boyfriend and helping them plan the Indian wedding of their dreams."
Mothers' Instinct,"Alice and Celine live a traditional lifestyle with successful husbands and sons of the same age. Life's perfect harmony is suddenly shattered after a tragic accident. Guilt, suspicion and paranoia combine to unravel their sisterly bond."
The Seed of the Sacred Fig,"An investigating judge struggles with paranoia amid political unrest in Tehran caused by the death of a young woman. When his gun goes missing, he suspects his wife and daughters, imposing harsh measures that fray family ties."
Kishkindha Kaandam,"Strange events unfold in a monkey-inhabited village, prompting a newlywed pair and forest officials to embark on a mission to uncover the root cause of the peculiar disturbances."
The Garfield Movie,"After Garfield's unexpected reunion with his long-lost father, ragged alley cat Vic, he and his canine friend Odie are forced from their perfectly pampered lives to join Vic on a risky heist."
The Thinking Game,"Chronicles visionary scientist Demis Hassabis' relentless pursuit to crack artificial general intelligence, a journey of extraordinary perseverance."
Attack on Titan the Movie: The Last Attack,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley."
Sheepdog,"A decorated combat veteran is court-ordered into treatment when an ex-convict shows up on his doorstep, forcing him to confront his past and begin an unexpected journey toward post-traumatic growth."
Hunting Matthew Nichols,"Twenty-three years after her brother vanished, a filmmaker investigates his disappearance. Uncovering evidence, she suspects he may still be alive, fueling her quest to unravel the mystery."
Beating Hearts,"Local rebellious teenager Clotaire falls for his schoolmate Jackie, but gang violence leads him to a darker destructive path. After years apart, the star-crossed lovers discover that every path they've taken leads them back together."
Tarot,"When a group of friends recklessly violates the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death."
Marmalade,"Baron teams up with his cellmate Otis to plan an escape, all while remembering how he fell for Marmalade and joined her in a risky bank robbery to support his sick mother and pursue a better future."
Apartment 7A,"A struggling young dancer finds herself drawn in by dark forces when a peculiar, well-connected older couple promise her a shot at fame."
Bob Marley: One Love,"The story of how reggae icon Bob Marley overcame adversity, and the journey behind his revolutionary music."
The Room Next Door,"Ingrid and Martha were close friends in their youth, when they worked together at the same magazine. After years of being out of touch, they meet again in an extreme but strangely sweet situation."
Riff Raff,A former criminal's ordinary life is turned upside down when his old family shows up for a long-awaited reunion.
Don't Tell Mom the Babysitter's Dead,Tanya's summer plans are canceled when her mom jets off for a last-minute retreat and the elderly babysitter who arrives at her door unexpectedly passes away.
Bird,"Bailey lives with her brother Hunter and her father Bug, who raises them alone in a squat in northern Kent. Bug doesn't have much time to devote to them. Bailey looks for attention and adventure elsewhere."
U Are the Universe,"After Earth explodes, Ukrainian space trucker Andriy Melnyk becomes the last person in the universe until he receives a call from Catherine, a French woman on a distant space station. Despite the obstacles, Andriy decides to find her."
Absolution,"An aging gangster attempts to reconnect with his children and rectify the mistakes in his past, but the criminal underworld won't loosen their grip willingly."
Witchboard,"A cursed Witchboard awakens dark forces, dragging a young couple into a deadly game of possession and deception"
The Rule of Jenny Pen,"Confined to a secluded rest home and trapped within his stroke-ridden body, a former Judge must stop an elderly psychopath who employs a child's puppet to abuse the home's residents with deadly consequences."
Beverly Hills Cop: Axel F,Axel Foley returns to Beverly Hills after his daughter's life is threatened for a family reunion that includes old pals John Taggart and Billy Rosewood to uncover a conspiracy.
Four Letters of Love,"Based on Niall Williams' best-selling novel. Nicholas and Isabel were made for each other but how will they ever know it? As ghosts, fate and the sheer power of true love pull them together, so too does life threaten to tear them apart."
Blitz,The stories of a group of Londoners during the German bombing campaign of the British capital during World War II.
A Sacrifice,"American social psychologist Ben Monroe investigates a local cult connected to a disturbing event, while his daughter becomes embroiled with a mysterious local boy."
Brothers,"Two criminal twin brothers, one who is trying to reform, embark on a dangerous heist road trip. Facing legal troubles, gunfights, and family drama, they must reconcile their differences before their mission leads to self-destruction."
Incoming,Four freshmen navigate the terrors of adolescence at their first-ever high school party.
Y2K,Two high-school nobodies make the decision to crash a Y2K party. The night becomes even crazier than they could have ever dreamed when the clock strikes midnight.
Monster Summer,"When a mysterious force begins to disrupt their big summer fun, a group of friends team up with a retired police detective to embark on an adventure to save their island."
Miller's Girl,A creative writing assignment yields complex results between a teacher and his talented student.
The Fix,"In a future with toxic air, a model takes a drug causing a transformation. She tries reversing it but learns her mutations could save humanity."
Last Night on Earth,"Faced with impending doom from a planet-killing asteroid, a couple flee to the hills of Tennessee to spend their last days together - but the chaotic breakdown of society disrupts their peaceful plans."
